,Unnamed: 0,Customer_id,Customer_age,Customer_sex,Customer_type,Customer_city,Visits,Device_used,Device_Platform,Existing_Customer,Product_id,product_visit,Days_in_cart,Viewd_in_cart,Price,Transcation_amount,discount_offered,Warranty,Warranty_period,Product_age,Support_type,Support_mode,Support_satisfaction,Revenue_Impact,Region,State,Zone,Product_comparison,Tech_score,Purchase_power,Thinking_score,service_category
0,0,1,50,Female,Old,Kolkata,142,Mobile/Tablet,iOS,No,3,5,13,3,47192,44832,5,1,10,2,Technical_Queries,Customer_support,5,0,Metro,West Bengal,East,3,2,9,3,Platinum1
1,1,2,26,Male,Young,Tiruvannamalai,210,Laptop/PC,Linux,No,1,5,35,14,89528,68936,23,0,0,34,Product_upgrade,Customer_support,3,26858,Non Metro,Andhra Pradesh,South,8,9,6,5,Gold2
2,2,3,22,Female,Young,Nagpur,188,Laptop/PC,Linux,Yes,2,7,51,20,86114,75780,12,0,0,18,Parts_change,Service_center,4,1863,Non Metro,Maharashtra,South,8,9,6,5,Gold2
3,3,4,50,Female,Old,Ahmedabad,140,Mobile/Tablet,Android,Yes,3,3,24,7,47192,39169,17,0,0,29,Parts_change,Service_center,5,1276,Metro,Gujrat,West,3,2,5,3,Silver1
4,4,5,37,Female,Middle,Kanpur,106,Laptop/PC,Linux,Yes,4,7,36,10,33668,29627,12,0,0,36,Product_upgrade,Customer_support,2,10100,Non Metro,Uttar Pradesh,North,4,9,3,4,Silver2
5,5,6,39,Male,Middle,Kochi,109,Mobile/Tablet,iOS,Yes,4,7,24,7,33668,27271,19,1,10,2,Technical_Queries,Remote_sharing,5,0,Non Metro,Kerela,South,4,4,7,3,Gold1
6,6,7,44,Female,Middle,Kolkata,178,Mobile/Tablet,iOS,Yes,3,4,17,5,47192,36337,23,0,0,16,Product_upgrade,Customer_support,3,14157,Metro,West Bengal,East,4,4,9,3,Platinum1
7,7,8,42,Male,Middle,Gwalior,54,Mobile/Tablet,Android,No,3,6,15,4,47192,38225,19,1,8,4,Technical_Queries,Remote_sharing,5,0,Non Metro,Madhya Pradesh,West,3,2,5,3,Silver1
8,8,9,49,Male,Old,Ghaziabad,140,Mobile/Tablet,Android,Yes,3,6,24,7,47192,44832,5,0,0,31,Parts_change,Service_center,5,638,Non Metro,Uttar Pradesh,North,3,2,5,3,Silver1
9,9,10,33,Female,Young,Bhubaneswar,209,Mobile/Tablet,Android,Yes,3,9,44,17,47192,44832,5,0,0,24,Parts_change,Service_center,5,2212,Non Metro,Orissa,East,9,4,5,5,Silver1
10,10,11,37,Female,Middle,Warangal,156,Mobile/Tablet,iOS,Yes,3,6,21,6,47192,38225,19,0,0,29,Parts_change,Service_center,4,799,Non Metro,Telangana,South,6,3,9,3,Platinum1
11,11,12,35,Female,Middle,Raipur,215,Mobile/Tablet,iOS,Yes,4,6,33,9,33668,29627,12,1,2,10,Technical_Queries,Remote_sharing,4,0,Non Metro,Chattisgarh,East,5,3,7,4,Gold1
12,12,13,27,Male,Young,Visakhapatnam,155,Laptop/PC,Windows,Yes,2,6,45,18,86114,75780,12,1,6,6,Technical_Queries,Customer_support,4,0,Metro,Andhra Pradesh,South,3,2,6,5,Gold1
13,13,14,42,Male,Middle,Goa,145,Mobile/Tablet,iOS,No,3,6,22,6,47192,44832,5,0,0,15,Parts_change,Service_center,5,1631,Non Metro,Goa,South,6,3,9,3,Platinum1
14,14,15,47,Male,Old,Asansol,102,Mobile/Tablet,iOS,No,3,5,12,3,47192,41528,12,0,0,26,Product_upgrade,Customer_support,3,14157,Non Metro,West Bengal,East,2,2,9,3,Platinum1
15,15,16,26,Female,Young,Kottayam,220,Laptop/PC,Windows,No,0,7,52,20,56323,45621,19,0,0,34,Product_upgrade,Customer_support,3,16896,Non Metro,Kerela,South,6,3,5,5,Silver1
16,16,17,20,Male,Young,Nashik,142,Mobile/Tablet,Android,No,0,7,51,20,56323,45621,19,0,0,19,Product_upgrade,Customer_support,4,16896,Non Metro,Maharashtra,South,6,3,5,5,Silver1
17,17,18,37,Female,Middle,Bikaner,88,Mobile/Tablet,Android,No,2,3,35,10,86114,69752,19,1,3,9,Technical_Queries,Remote_sharing,5,0,Non Metro,Rajasthan,West,6,3,6,4,Gold1
