,Customer_id,Customer_age,Customer_sex,Customer_type,Customer_city,Visits,Device_used,Device_Platform,Existing_Customer,Product_id,product_visit,Days_in_cart,Viewd_in_cart,Price,Transcation_amount,discount_offered,Warranty,Warranty_period,Product_age,Support_type,Support_mode,Support_satisfaction,Revenue_Impact
0,1,50,0,Old,Kolkata,142,0,iOS,No,3,5,13,3,47192,44832,5,1,10,2,Technical_Queries,Customer_support,5,0
1,2,26,1,Young,Tiruvannamalai,210,1,Linux,No,1,5,35,14,89528,68936,23,0,0,34,Product_upgrade,Customer_support,3,26858
2,3,22,0,Young,Nagpur,188,1,Linux,Yes,2,7,51,20,86114,75780,12,0,0,18,Parts_change,Service_center,4,1863
3,4,50,0,Old,Ahmedabad,140,0,Android,Yes,3,3,24,7,47192,39169,17,0,0,29,Parts_change,Service_center,5,1276
4,5,37,0,Middle,Kanpur,106,1,Linux,Yes,4,7,36,10,33668,29627,12,0,0,36,Product_upgrade,Customer_support,2,10100
5,6,39,1,Middle,Kochi,109,0,iOS,Yes,4,7,24,7,33668,27271,19,1,10,2,Technical_Queries,Remote_sharing,5,0
6,7,44,0,Middle,Kolkata,178,0,iOS,Yes,3,4,17,5,47192,36337,23,0,0,16,Product_upgrade,Customer_support,3,14157
7,8,42,1,Middle,Gwalior,54,0,Android,No,3,6,15,4,47192,38225,19,1,8,4,Technical_Queries,Remote_sharing,5,0
8,9,49,1,Old,Ghaziabad,140,0,Android,Yes,3,6,24,7,47192,44832,5,0,0,31,Parts_change,Service_center,5,638
9,10,33,0,Young,Bhubaneswar,209,0,Android,Yes,3,9,44,17,47192,44832,5,0,0,24,Parts_change,Service_center,5,2212
10,11,37,0,Middle,Warangal,156,0,iOS,Yes,3,6,21,6,47192,38225,19,0,0,29,Parts_change,Service_center,4,799
11,12,35,0,Middle,Raipur,215,0,iOS,Yes,4,6,33,9,33668,29627,12,1,2,10,Technical_Queries,Remote_sharing,4,0
12,13,27,1,Young,Visakhapatnam,155,1,Windows,Yes,2,6,45,18,86114,75780,12,1,6,6,Technical_Queries,Customer_support,4,0
13,14,42,1,Middle,Goa,145,0,iOS,No,3,6,22,6,47192,44832,5,0,0,15,Parts_change,Service_center,5,1631
14,15,47,1,Old,Asansol,102,0,iOS,No,3,5,12,3,47192,41528,12,0,0,26,Product_upgrade,Customer_support,3,14157
15,16,26,0,Young,Kottayam,220,1,Windows,No,0,7,52,20,56323,45621,19,0,0,34,Product_upgrade,Customer_support,3,16896
16,17,20,1,Young,Nashik,142,0,Android,No,0,7,51,20,56323,45621,19,0,0,19,Product_upgrade,Customer_support,4,16896
17,18,37,0,Middle,Bikaner,88,0,Android,No,2,3,35,10,86114,69752,19,1,3,9,Technical_Queries,Remote_sharing,5,0
18,19,21,0,Young,Kakinada,200,0,Android,No,1,6,42,16,89528,72517,19,0,0,39,Product_upgrade,Customer_support,5,26858
19,20,40,0,Middle,Nanded,55,0,iOS,No,3,8,11,3,47192,38225,19,1,11,1,Technical_Queries,Customer_support,4,0
20,21,36,0,Middle,Bhopal,178,0,iOS,Yes,3,4,19,5,47192,44832,5,0,0,29,Parts_change,Service_center,5,2110
21,22,42,0,Middle,Amritsar,176,0,iOS,Yes,4,8,29,8,33668,27944,17,0,0,36,Product_upgrade,Customer_support,3,10100
22,23,22,1,Young,Rourkela,182,1,Windows,Yes,1,8,49,19,89528,72517,19,1,3,9,Parts_change,Service_center,5,2482
23,24,41,1,Middle,Meerut,162,1,Linux,No,4,7,23,6,33668,29627,12,0,0,18,Product_upgrade,Customer_support,4,10100
24,25,39,1,Middle,Durgapur,160,1,Windows,Yes,3,6,34,10,47192,36337,23,1,9,3,Technical_Queries,Customer_support,5,0
25,26,51,1,Old,Cuttack,139,0,iOS,Yes,5,5,4,1,78227,63363,19,1,5,7,Technical_Queries,Customer_support,4,0
26,27,19,0,Young,Warangal,214,0,Android,Yes,0,9,55,22,56323,45621,19,1,4,8,Parts_change,Service_center,5,1235
27,28,21,0,Young,Thiruvananthapuram,197,1,Windows,Yes,1,6,40,16,89528,68936,23,1,4,8,Technical_Queries,Customer_support,4,0
28,29,54,0,Old,Dehradun,104,1,Windows,Yes,4,1,13,3,33668,29627,12,1,4,8,Technical_Queries,Remote_sharing,5,0
